NAME,ALGO,PRECISION,OMP_THREADS,MPI_RANKS,NGPUs,GPU ID,SIZE,TOTAL_TIME,TOTAL_TIME_var,TOTAL_TIME_std,CPU_TIME,CPU_TIME_var,CPU_TIME_std,GPU_TIME,GPU_TIME_var,GPU_TIME_std,CPU_JOULES,CPU_JOULES_var,CPU_JOULES_std,GPU_JOULES,GPU_JOULES_var,GPU_JOULES_std,CPU_WATTS,CPU_WATTS_var,CPU_WATTS_std,GPU_WATTS,GPU_WATTS_var,GPU_WATTS_std,NRUNS,CPU_NAME,Sockets,GPU_NAME,Cores_per_socket,TOTAL_WATTS,TOTAL_JOULES
Palabos_anerusym,LBM,8,1,64,0,99,116923434,,,,1573.82,0.0,0.0,,,,223901.0,0,0,,,,142.266,0,0,,,,1,AMD EPYC 7H12 64-Core Processor,2,,64,,
Palabos_anerusym,LBM,8,1,128,0,99,2217803,,,,28.4466,0.0,0.0,,,,5899.23,0,0,,,,207.379,0,0,,,,1,AMD EPYC 7H12 64-Core Processor,2,,64,,
Palabos_anerusym,LBM,8,1,128,0,99,116923434,,,,796.578,0.0,0.0,,,,164304.0,0,0,,,,206.263,0,0,,,,1,AMD EPYC 7H12 64-Core Processor,2,,64,,
Palabos_anerusym,LBM,8,1,64,0,99,34645796,,,,548.499,0.0,0.0,,,,78261.2,0,0,,,,142.682,0,0,,,,1,AMD EPYC 7H12 64-Core Processor,2,,64,,
Palabos_anerusym,LBM,8,1,96,0,99,2217803,,,,49.0468,0.0,0.0,,,,9318.1,0,0,,,,189.984,0,0,,,,1,AMD EPYC 9654 96-Core Processor,2,,96,,
Palabos_anerusym,LBM,8,1,64,0,99,34645796,,,,556.358,0.0,0.0,,,,82485.8,0,0,,,,148.26,0,0,,,,1,AMD EPYC 7H12 64-Core Processor,2,,64,,
Palabos_anerusym,LBM,8,1,64,0,99,116923434,,,,1597.21,0.0,0.0,,,,233797.0,0,0,,,,146.378,0,0,,,,1,AMD EPYC 7H12 64-Core Processor,2,,64,,
Palabos_anerusym,LBM,8,1,192,0,99,2217803,,,,13.0672,0.0,0.0,,,,3664.97,0,0,,,,280.471,0,0,,,,1,AMD EPYC 9654 96-Core Processor,2,,96,,
Palabos_anerusym,LBM,8,1,64,0,99,34645796,,,,552.452,0.0,0.0,,,,81342.9,0,0,,,,147.24,0,0,,,,1,AMD EPYC 7H12 64-Core Processor,2,,64,,
Palabos_anerusym,LBM,8,1,96,0,99,34645796,,,,278.39,0.0,0.0,,,,58118.1,0,0,,,,208.765,0,0,,,,1,AMD EPYC 9654 96-Core Processor,2,,96,,
